  |-----TILL------|       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29
    #  NAME     PCD    PRIC    PLST     HRY     HRL     PWR     WDT     SPD     RC1     RC2     XLB     FCM     VR1     VR2     EFM     RTI     EMX     RR      TLD     RHT     RIN     DKH     DKI     IHC      HE    ORHI    FRCP    FPOP    CFEM    STIR      EQP
  261 DRYFTRLR NON     1483    1631      50    1200       0     9.1    7.24   0.630   1.300   0.100   0.000   0.600   0.885   0.700   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     9.0   0.000   0.000   0.000   0.000   0.000  10.000 DRY FER                    
  265 LQDFTRLR NON     6829    7512      80    1500       0     9.1   10.46   0.630   1.300   0.100   0.000   0.600   0.885   0.650   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     9.0   0.000   0.000   0.000   0.000   0.000  10.000 LQUD FE                    
  266 MANSPDER NON     5665    6232     100    2000       0     6.1    6.44   0.630   1.300   0.100   0.000   0.600   0.885   0.650   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     9.0   0.000   0.000   0.000   0.000   0.000  10.000 MANURE                     
  267 SPFTSPDR SELF   62569   68826      50    2000      75     9.1   10.46   0.630   1.300   0.100   0.000   0.560   0.885   0.650   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     9.0   0.000   0.000   0.000   0.000   0.000  10.000 SELF-PR                    
  268 ANIMAL   SELF                                                                                                                                                                                     9.0   0.000   0.000                   0.000  10.000 ANIMAL                     
  269 MANSPDER NON     5665    6232     100    2000       0     6.1    6.44   0.630   1.300   0.100   0.000   0.600   0.885   0.650   0.000   0.000   0.000    75.0   0.000   0.000   0.000   0.000     9.0   0.000   0.000   0.000   0.000   0.000  10.000 MANURE                     
  271 FERTRENT CUST      50       0     800   24000       0    11.0    4.83   0.630   1.300   0.000   0.000   0.600   0.858   0.500   0.000   0.300  13.000    75.0  25.000   0.300   0.000   0.000     9.0   0.000   0.000   0.000   0.000   0.000  10.000 FERT AP                    
  272 AERIALCH SELF   25027   27529     100    2500       0     9.1    8.10   0.200   1.600   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     7.0   0.950   0.000   0.000   0.000   0.000  10.000 AERIAL                     
  273 CHEMIMPL NON     2284    2512      50    1200       0     3.0    7.24   0.410   1.300   0.100   0.000   0.600   0.885   0.700   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     7.0   0.950   0.000   0.000   0.000   0.000  10.000 CHEM AP                    
  274 CHEMLGSP SELF   30899   33989      50    2000      75     9.1   10.46   0.410   1.300   0.100   0.420   0.560   0.885   0.650   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     7.0   0.950   0.000   0.000   0.000   0.000  10.000 CHEM AP                    
  277 CGE30TLR NON     6700    7370      80    1500       0    11.0    7.24   0.410   1.300   0.100   0.000   0.600   0.885   0.650   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     7.0   0.950   0.000   0.000   0.000   0.000  10.000 CHEM AP                    
  283 CHEMRENT CUST      24       0     128       1       0    18.3    6.44   0.410   1.300   0.000   0.000   0.000   0.000   0.750   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     7.0   0.950   0.000   0.000   0.000   0.000  10.000 CHEM AP                    
  292 CSP2WD   SELF  164865  181352      85    2000     119     4.9    5.00   0.040   2.100   0.100   0.420   0.640   0.885   0.700   0.000   0.000   0.000-10000.0   0.000   0.000   0.000   0.000     2.0   0.950   0.000   0.000   0.000   0.000  10.000 COMBINE                    
  293 CSP4WD   SELF  147841  162625     205    2000     119     5.5    5.31   0.040   2.100   0.100   0.420   0.640   0.885   0.700   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     2.0   0.950   0.000   0.000   0.000   0.000  10.000 COMBINE                    
  294 CSPTRACK SELF  179346  197281     400    3500     119     5.5    1.61   0.040   2.100   0.100   0.420   0.640   0.885   0.700   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     2.0   0.950   0.000   0.000   0.000   0.000  10.000 COMBINE                    
  295 CORNPICK SELF   14827   16310      55    2000     149     1.5    5.95   0.140   2.300   0.100   0.000   0.600   0.885   0.700   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     2.0   0.950   0.000   0.000   0.000   0.000  10.000 CORN PI                    
  296 CTTNPICK NON     7634    8398      50    2000       0     4.9    4.83   0.110   1.800   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     2.0   0.950   0.000   0.000   0.000   0.000  10.000 COTTON                     
  297 CTTNPKSP SELF  222000  244200     260    2500     149     1.5    4.18   0.110   1.800   0.100   0.420   0.640   0.885   0.700   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     2.0   0.950   0.000   0.000   0.000   0.000  10.000 COTTON                     
  298 CTMODULE NON    13000   14300     550   20000       0     4.9    1.61   0.100   1.800   0.100   0.000   0.640   0.885   0.800   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 COTTON                     
  299 CTTNROOD NON     7634    8398     210    2500       0     4.9    6.44   0.110   1.800   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 COTTON                     
  300 CTTNSTPR NON     7634    8398     120    2500       0     4.9    7.24   0.110   1.800   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     2.0   0.950   0.000   0.000   0.000   0.000  10.000 COTTON                     
  302 CTTNSTSP SELF  101935  112129     145    2000     149     4.9    6.92   0.110   1.800   0.100   0.420   0.640   0.885   0.750   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     2.0   0.950   0.000   0.000   0.000   0.000  10.000 COTTON                     
  303 CTTNTRLR NON     2000    2200      20     525       0     4.9   19.31   0.190   1.300   0.100   0.000   0.600   0.885   0.509   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000    12.0   0.000   0.000   0.000   0.000   0.000  10.000 COTTON                     
  304 PNUTDIGS NON     8649    9514      50    2000       0     4.9    4.02   0.590   1.300   0.100   0.000   0.600   0.885   0.800   0.000   0.500  20.000   180.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 PEANUT                     
  305 PNUTCOMB NON    81923   90115      60    2000       0     4.9    3.20   0.120   2.300   0.100   0.000   0.640   0.885   0.550   0.000   0.000   0.000   100.0   0.000   0.000   0.000   0.000     2.0   0.950   0.400   0.000   0.000   0.000  10.000 PEANUT                     
  306 PNUTRESK NON     5717    6288      40    1200       0     4.9    4.02   0.060   2.000   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   180.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 PEANUT                     
  307 PNUTSHKI NON    16320   17952      70    1200       0     4.9    4.02   0.060   2.000   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   180.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 PEANUT                     
  308 PNUTVINC NON     7329    8062      50    1200       0     4.9    1.61   0.460   1.700   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   180.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 PEANUT                     
  309 PNUTWAGN NON    63208   69528     100    2000       0     4.9   16.09   0.190   1.300   0.100   0.000   0.600   0.885   0.825   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000    12.0   0.000   0.000   0.000   0.000   0.000  10.000 PEANUT                     
  310 SILAGEHV NON    28970   31867     100    2500       0     1.5    4.51   0.150   1.600   0.100   0.000   0.560   0.885   0.600   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     2.0   0.950   0.900   0.000   0.000   0.000  10.000 SILAGE                     
  313 BALERMTD NON    13198   14518     100    2500       0     3.7    6.40   0.230   1.800   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   -25.0   0.000   0.000   0.000   0.000     2.0   0.800   0.800   0.000   0.000   0.000  10.000 BALER                      
  314 BALEPTOL NON    16300   17930     100    2000       0     3.7   16.10   0.100   1.800   0.100   0.000   0.560   0.885   0.825   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     2.0   0.999   0.999   0.000   0.000   0.000  10.000 BALER                      
  315 BALEPTOS NON    17600   19360     100    2000       0     3.7   16.10   0.230   1.800   0.100   0.000   0.560   0.885   0.825   0.000   0.000   0.000   -25.0   0.000   0.000   0.000   0.000     2.0   0.999   0.999   0.000   0.000   0.000  10.000 BALER                      
  316 BALERSP  SELF   16300   17930     100    2500     149     3.7    4.80   0.100   1.800   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   -25.0   0.000   0.000   0.000   0.000     2.0   0.950   0.900   0.000   0.000   0.000  10.000 BALER                      
  317 MOWERPTO NON    13810   15191     100    2500       0     2.7    9.65   0.180   1.600   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 MOWER C                    
  318 MOWERCSP SELF   21500   23650     100    2500      75     2.7    7.24   0.180   1.600   0.100   0.530   0.600   0.885   0.800   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 MOWER C                    
  319 MOWERDRD NON    13700   15070     100    2500       0     2.1    7.24   0.160   2.000   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 MOWER                      
  320 MOWLAWN  SELF   13810   15191     100    2500       0     2.7    9.65   0.180   1.600   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     0.0   0.900   0.300   0.000   0.000   0.000  10.000 MOWER L                    
  321 MOWERSCK NON     3306    3636     100    2000       0     2.1    8.05   0.460   1.700   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 MOWER                      
  322 MOWAUTO  SELF   13810   15191     100    2500       0     2.7    9.65   0.180   1.600   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000    22.0   0.900   0.300   0.000   0.000   0.000  10.000 MOWER A                    
  323 RAKESIDE NON     4807    5287     100    2000       0     3.0    7.24   0.170   1.400   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 RAKE                       
  324 RAKEWHEL NON     5410    5951     100    2500       0     3.0    6.44   0.170   1.400   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 RAKE                       
  326 WSWTHPTO NON    18461   20307      34    2000       0     4.3    3.22   0.060   2.000   0.100   0.000   0.600   0.885   0.700   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 WINDROW                    
  327 WSWTHSP  SELF    1399    1539      45    2000      63     4.3    8.37   0.060   2.000   0.100   0.420   0.600   0.885   0.700   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 WINDROW                    
  328 BALELOAD NON    63200   69520     100    2000       0     0.3   16.10   0.430   1.800   0.100   0.000   0.600   0.885   0.825   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000    12.0   0.000   0.000   0.000   0.000   0.000  10.000 BALE LO                    
  329 SHREDGT8 NON     3535    3889     100    2000       0     2.7    6.44   0.440   2.000   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   -75.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 SHREDDE                    
  331 SHRDRGT8 NON     4768    5245     100    2000       0     2.7    5.63   0.440   2.000   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   -75.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 SHREDDE                    
  333 STACKMOV NON     4243    4667     100    2000       0     2.7    4.83   0.160   1.600   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 STACK M                    
  334 STACKAUT SELF    2690    2959     100    2500     149     0.3    5.63   0.160   1.600   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 STACKER                    
  336 BEETHARV SELF    9558   10514     100    1500       4     3.0    3.22   0.590   1.300   0.000   0.000   0.680   0.900   0.650   0.000   0.000   0.000   100.0   0.000   0.000   0.000   0.000     2.0   0.950   0.500   0.000   0.000   0.000  10.000 BEET HA                    
  338 BEETTOPP SELF    2573    2830      50    1000       9     3.0    6.44   0.280   1.400   0.000   0.000   1.500   0.920   0.650   0.000   0.000   0.000   -25.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 BEET TO                    
  339 RICECOMB SELF   43457   47802     270    1890       0     3.7    5.63   0.040   2.100   0.100   0.000   0.600   0.885   0.700   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     2.0   0.950   0.000   0.000   0.000   0.000  10.000 RICE CO                    
  340 PIPE WGN NON      862     948      40     800       0    12.2    8.05   0.190   1.300   0.000   0.000   0.800   0.940   0.650   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 PIPE WA                    
  341 TRLR20FT NON     6462    7108     200    3000       0     3.0    5.63   0.190   1.300   0.000   0.000   0.600   0.885   0.750   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 UTILITY                    
  343 TRLR40FT NON    63245   69570     100    1500       0     2.4    4.83   0.190   1.300   0.100   0.000   0.600   0.885   0.700   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 TRAILER                    
  344 TRCK1/2T SELF   17680   19448     400    4000     130     0.3   48.27   0.007   2.000   0.100   0.530   0.600   0.885   0.800   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 TRUCK P                    
  345 TRCK3/4T SELF   18643   20507     210    4000     130     0.3   48.27   0.007   2.000   0.100   0.530   0.600   0.885   0.800   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 TRUCK P                    
  346 SEMIDIES SELF  105944  116538     350    4500     224     0.3   72.40   0.007   2.000   0.100   0.420   0.600   0.885   0.800   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000    12.0   0.000   0.000   0.000   0.000   0.000  10.000 TRUCK S                    
  352 TRCKDI4T SELF   44280   48708     185    4000     149     0.3   40.22   0.007   2.000   0.100   0.420   0.600   0.885   0.800   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000    12.0   0.000   0.000   0.000   0.000   0.000  10.000 TRUCK T                    
  355 CSPHILBG SELF   50200   55220     100    2000       0     6.7    4.83   0.040   2.100   0.100   0.000   0.640   0.885   0.750   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     2.0   0.950   0.000   0.000   0.000   0.000  10.000 COMBINE                    
  356 DSKPLW36 NON    16053   17658     150    2500       0     7.3    7.24   0.180   1.700   0.000   0.000   0.600   0.885   0.750   0.000   0.700  50.000   100.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 DISK PL                    
  359 BACKHOE  SELF  139181  153099      50    2000      75     2.1   16.09   0.007   2.000   0.100   0.420   0.600   0.885   0.850   0.000   0.100  13.000     5.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 BACKHOE                    
  362 CTTNCHOP NON     7634    8398      50    2500       0     4.9    7.24   0.280   1.400   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 COTTON                     
  365 DTCHVEE  NON    15504   17054     100    2000       0     2.1    4.83   0.290   1.800   0.100   0.000   0.600   0.885   0.800   0.000   0.250   0.130     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 DITCHER                    
  368 FRNTLDR  SELF    8539    9393     100    2500      75     1.8    4.83   0.007   2.000   0.100   0.420   0.600   0.885   0.800   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 FRONTEN                    
  369 GRWAGON  NON     2342    2576     100    2500       0     2.4   16.09   0.190   1.300   0.100   0.000   0.600   0.885   0.825   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000    12.0   0.000   0.000   0.000   0.000   0.000  10.000 GRAIN/H                    
  378 ROCKPICK NON     9579   10537     100    2500       0     2.1    4.83   0.290   1.800   0.100   0.000   0.600   0.885   0.700   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 ROCK PI                    
  380 RDNTKILL NON     1542    1696      20    1200       0     2.1    1.61   0.320   2.100   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 RODENT                     
  381 BULLDOZR SELF  135101  148612     100   12000     224     3.0    4.83   0.003   2.000   0.100   0.420   0.680   0.920   0.600   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 D7E BUL                    
  382 GATEPIPE IRRI    4308    4739     126   73167      15     0.3    5.04   0.190   1.300   0.000   0.000   0.900   0.960   1.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     8.0   0.000   0.000   0.000   0.000   0.000  10.000 GATED P                    
  383 PLASTIC  NON      364     400     100    1000       0     0.9    1.77   0.190   1.300   0.000   0.000   0.600   0.885   0.600   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 PLASTIC                    
  389 RODWDR36 NON    14390   15829     150    2500       0    11.0    6.44   0.270   1.400   0.000   0.000   0.600   0.885   0.750   0.000   0.300  20.000   100.0  25.000   0.300   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 RODWEED                    
  393 CANEHRV2 SELF  166089  182698     400    6000      82     3.7    8.05   0.190   1.400   0.100   0.420   0.600   0.885   1.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     2.0   0.950   0.950   0.000   0.000   0.000  10.000 CANE HA                    
  396 TLOADSUG NON    23621   25983     150     150       0     3.7    4.02   0.190   1.300   0.000   0.000   0.600   0.885   0.600   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 TRANSLO                    
  397 BURNUNIT NON     1400    1540      85     510       0     5.5    6.44   0.190   1.300   0.000   0.000   0.600   0.885   1.000   0.000   0.000   0.000    -0.1   0.000   0.000   0.000   0.000    14.0   0.000   0.000   0.000   0.000   0.000  10.000 BURNING                    
  398 CANEWG10 NON     8703    9573     400    3600       0     2.4    2.41   0.190   1.300   0.000   0.000   0.600   0.885   1.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000    12.0   0.000   0.000   0.000   0.000   0.000  10.000 CANE WA                    
  402 POTAHARV NON    35573   39131      50    2500       0     1.8    3.22   0.190   1.400   0.100   0.000   0.600   0.885   0.700   0.000   0.800  20.000   150.0   0.000   0.000   0.000   0.000     2.0   0.950   0.950   0.000   0.000   0.000  10.000 POTATO                     
  408 CANELDSP SELF   60916   67008     425    4500       0     1.8    4.83   0.190   1.300   0.100   0.420   0.600   0.885   1.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000    12.0   0.000   0.000   0.000   0.000   0.000  10.000 SP CANE                    
  410 VEGHARV  NON     2736    3009      50    2000       0     1.2    4.83   0.190   1.400   0.100   0.000   0.600   0.885   0.870   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     2.0   0.950   0.800   0.000   0.000   0.000  10.000 VEGETAB                    
  417 CANEPLNT NON    31423   34565     160    1440       0     1.8    4.83   0.320   2.100   0.000   0.000   0.600   0.885   1.000   0.000   0.200  10.000     0.0   0.000   0.000   0.000   0.000     5.0   0.000   0.000   0.000   0.000   0.000  10.000 MECH PL                    
  420 RMV-DIKE NON        0       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.700  10.000    40.0 100.000   1.000   0.000   0.000    18.0   0.000   0.000   0.200   0.000   0.000  10.000 REMOVE                     
  421 BDIKE100 NON        0       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.700  10.000    40.0 100.000   0.250 100.000   0.400    17.0   0.000   0.000   0.200   0.000   0.000  10.000 BUILD F                    
  422 PADDYBD  NON        0       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.050  10.000   100.01000.000  40.0001000.000 100.000    17.0   0.000   0.000   0.300   0.000   0.000  10.000 BUILD R                    
  423 THIN     NON        0       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     3.0   0.950   0.500   0.250   0.500   0.000  10.000 REDUCE                     
  424 PUDDLE   NON        0       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.500   5.000    75.0   0.000   0.000   0.000   0.000    15.0   0.000   0.000   0.300   0.000   0.000  10.000 PUDDLE                     
  425 XPUDDLE  NON        0       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.500   5.000    75.0   0.000   0.000   0.000   0.000    16.0   0.000   0.000   0.300   0.000   0.000  10.000 DESTROY                    
  426 GRAZE    NON        0       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.050   1.000   -50.0   0.000   0.000   0.000   0.000    19.0   0.500  15.000   0.050   0.000   0.000  10.000 INITIAT                    
  427 STOP GRZ NON        0       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000    20.0   0.000   0.000   0.000   0.000   0.000  10.000 STOP GR                    
  428 STOP DRN NON        0       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000    25.0   0.000   0.000   0.000   0.000   0.000  10.000 STOP DR                    
  429 OPEN DRN NON        0       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000    26.0   0.000   0.000   0.000   0.000   0.000  10.000 OPEN DR                    
  451 KILL     NON        0       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     1.0   0.000   0.000   0.000   0.000   0.000  10.000 KILL                       
  457 CLEARCUT NON    28970   31867     100    2500       0     1.5    4.51   0.150   1.600   0.100   0.000   0.560   0.885   0.600   0.000   0.000   0.000  -200.0   0.000   0.000   0.000   0.000     2.0   0.950   0.900   0.000   0.000   0.000  10.000 CLEARCU                    
  500 CNTR PVT IRRI   58589   64448     840   15000       7     3.0    3.22   0.012   1.300   0.044   0.000   0.680   0.920   0.950   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     8.0   0.000   0.000   0.000   0.000   0.000  10.000 CENTER                     
  501 IRR100HP IRRI    9155   10070     840   11000      75     3.0    3.22   0.012   1.300   0.044   0.000   0.680   0.920   0.825   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     8.0   0.000   0.000   0.000   0.000   0.000  10.000 IRRIGAT                    
  502 FLOODIRR IRRI   32310   35541     100   20000      41     2.4    3.22   0.190   1.300   0.044   0.000   0.680   0.900   0.750   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     8.0   0.000   0.000   0.000   0.000   0.000  10.000 FURROW                     
  530 ALDRPIRR IRRI   13463   14809     200    2000       0     0.9    1.61   0.190   1.300   1.100   0.000   0.600   1.097   0.950   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     8.0   0.000   0.000   0.000   0.000   0.000  10.000 AL DRIP                    
  531 WY WWELL IRRI   12170   13387     969   14535       0     0.9    4.83   0.190   1.300   0.015   0.000   0.600   1.070   0.550   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     8.0   0.000   0.000   0.000   0.000   0.000  10.000 WY GRND                    
  533 WYCDITCH IRRI   34464   37910    3975   79500       0     0.9    4.83   0.190   1.300   0.070   0.000   0.600   0.600   0.550   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     8.0   0.000   0.000   0.000   0.000   0.000  10.000 WY CONC                    
  534 WYGTPIPE IRRI   67851   74636     844   16880       0     0.9    4.83   0.190   1.300   0.110   0.000   0.500   1.000   0.800   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     8.0   0.000   0.000   0.000   0.000   0.000  10.000 WY GATE                    
  560 C:HAUL 6 CUST       0       8       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000    12.0   0.000   0.000   0.000   0.000   0.000  10.000 HAULING                    
  561 AER APPF NON       17      19     840   15000       7     3.0    3.22   0.630   1.300   0.000   0.420   0.680   0.920   0.825   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     9.0   0.000   0.000   0.000   0.000   0.000  10.000 AERIAL                     
  562 C:PEST 5 CUST       7       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     7.0   0.950   0.000   0.000   0.000   0.000  10.000 AERIAL                     
  563 C:THIN 3 CUST      62       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   5.000   0.000   0.020   0.000  10.000 THIN                       
  565 WEED     NON       40      44      45    2000      63     4.3    8.37   0.170   2.200   0.100   0.420   0.600   0.885   0.700   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.010   0.000  10.000 WEED                       
  566 DEFOL    SELF       7       8     660   12000     119    30.0   12.00   0.410   1.300   0.100   0.420   0.680   0.920   0.900   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     7.0   0.000   0.000   0.000   0.000   0.000  10.000 DEFOLIA                    
  568 C:HARV 6 CUST       0      14       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     2.0   0.950   0.000   0.000   0.000   0.000  10.000 COMBINE                    
