   44	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AL018323.WND   31.82   -85.97     AL           TROY AL            
   45	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AL018380.WND   33.23   -87.62     AL           TUSCALOOSA AIRPORT 
   46	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AL018438.WND   32.13   -85.73     AL           UNION SPRINGS AL   
   47	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AL018469.WND   34.57   -85.60     AL           VALLEY HEAD AL     
   48	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AL018517.WND   33.75   -88.12     AL           VERNON AL          
   49	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AL018867.WND   31.65   -87.72     AL           WHATLEY AL         
   50	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK500026.WND   51.85  -176.65     AK           ADAK AK            
   51	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK500260.WND   67.08  -157.87     AK           AMBLER WEST AK     
   52	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK500352.WND   55.03  -131.57     AK           ANNETTE WSO AP AK  
   53	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK500546.WND   71.30  -156.78     AK           BARROW WSO AP AK   
   54	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK500558.WND   70.13  -143.63     AK           BARTER ISLAND WSO A
   55	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK500657.WND   55.38  -131.47     AK           BEAVER FALLS AK    
   56	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK500754.WND   60.78  -161.80     AK           BETHEL WSO AP AK   
   57	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK500761.WND   66.92  -151.52     AK           BETTLES FAA AP AK  
   58	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK501312.WND   68.87  -166.12     AK           CAPE LISBURNE AK   
   59	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK501314.WND   58.63  -162.07     AK           CAPE NEWENHAM AK   
   60	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK501318.WND   61.78  -166.05     AK           CAPE ROMANZOF AK   
   61	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK501977.WND   65.83  -144.07     AK           CIRCLE CITY AK     
   62	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK502019.WND   64.05  -145.52     AK           CLEAR WATER AK     
   63	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK502102.WND   55.20  -162.72     AK           COLD BAY WSO AP AK 
   64	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK502107.WND   64.87  -147.83     AK           COLLEGE MAGNETIC OB
   65	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK502177.WND   60.50  -145.50     AK           CORDOVA WB (AP) AK 
   66	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK502457.WND   59.05  -158.52     AK           DILLINGHAM FAA AP A
   67	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK502587.WND   53.90  -166.53     AK           DUTCH HARBOR AK    
   68	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK502607.WND   64.78  -141.20     AK           EAGLE AK           
   69	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK502707.WND   64.67  -147.10     AK           EIELSON FIELD AK   
   70	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK502730.WND   61.47  -149.17     AK           EKLUTNA PROJECT AK 
   71	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK502968.WND   64.82  -147.87     AK           FAIRBANKS WSFO AP A
   72	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK503215.WND   64.72  -156.90     AK           GALENA AIRPORT AK  
   73	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK503226.WND   63.85  -171.60     AK           GAMBELL AK         
   74	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK503465.WND   62.15  -145.45     AK           GULKANA WSO AK     
   75	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK503665.WND   59.63  -151.50     AK           HOMER WSO AP AK    
   76	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK503905.WND   59.75  -154.92     AK           ILIAMNA FAA AP AK  
   77	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK503910.WND   65.98  -153.68     AK           INDIAN MOUNTAIN AK 
   78	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK503933.WND   59.57  -154.47     AK           INTRICATE BAY AK   
   79	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK504100.WND   58.37  -134.58     AK           JUNEAU FAA AP AK   
   80	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK504546.WND   60.57  -151.25     AK           KENAI FAA AIRPORT A
   81	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK504590.WND   55.35  -131.65     AK           KETCHIKAN AK       
   82	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK504766.WND   58.68  -156.65     AK           KING SALMON WSO AP 
   83	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK504812.WND   58.18  -152.35     AK           KITOI BAY AK       
   84	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK504898.WND   55.55  -133.10     AK           KLAWOCK AK         
   85	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK504988.WND   57.75  -152.50     AK           KODIAK WSO AP AK   
   86	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK505076.WND   66.87  -162.63     AK           KOTZEBUE WSO AP AK 
   87	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK505519.WND   56.38  -134.65     AK           LITTLE PORT WALTER 
   88	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK505733.WND   61.57  -149.27     AK           MANTANUSKA AG EX ST
   89	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK505769.WND   62.97  -155.62     AK           MCGRATH WSO AP AK  
   90	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK505778.WND   63.72  -148.97     AK           MCKINLEY PARK AK   
   91	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK506496.WND   64.50  -165.43     AK           NOME WSO AP AK     
   92	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK506586.WND   62.97  -141.93     AK           NORTHWAY FAA AP AK 
   93	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK506870.WND   61.60  -149.13     AK           PALMER AK          
   94	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK507783.WND   62.10  -152.75     AK           PUNTILLA AK        
   95	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK508118.WND   57.15  -170.22     AK           ST. PAUL IS. WSO AP
   96	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK508371.WND   60.12  -149.45     AK           SEWARD AK          
   97	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK508976.WND   62.30  -150.10     AK           TALKEETNA WSO AP AK
   98	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK509014.WND   65.17  -152.10     AK           TANANA FSS AK      
   99	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK509641.WND   64.85  -147.87     AK           COLLEGE UNIV EXP ST
